ba_a,ba_b,benchmark,intervention_mw,relief_mwh,residual_spread_usd_mwh,relief_value_usd,annual_cost_usd,benefit_cost_ratio,cost_per_relieved_dollar
CISO,SRP,transmission_capacity,50.0,428638.10643871897,1.3310061621056237,595806.9679498193,7500000.0,0.0794409290599759,12.587969599965593
CISO,SRP,transmission_capacity,100.0,839084.1215345609,1.274516117671325,1166326.9289330395,15000000.0,0.07775512859553597,12.86088799623452
CISO,SRP,transmission_capacity,250.0,1968828.1798172148,1.1190284537531614,2736671.1699459283,37500000.0,0.07297789786522475,13.702778913237477
CISO,SRP,transmission_capacity,500.0,3553845.9882823303,0.900881064970641,4939845.923712439,75000000.0,0.06586461231616585,15.182659774869112
CISO,SRP,transmission_capacity,1000.0,5857149.987322205,0.5838753188652062,8141438.482377864,150000000.0,0.05427625654918576,18.424262533540585
CISO,SRP,grid_storage_4h,50.0,59822.125386361564,1.381766628504261,83152.75428704257,9375000.0,0.008869627123951207,112.74431112212571
CISO,SRP,grid_storage_4h,100.0,119289.90704468635,1.3735820256460665,165812.970792114,18750000.0,0.00884335844224608,113.07921153832763
CISO,SRP,grid_storage_4h,250.0,295588.1163662324,1.349317948734671,410867.481749063,46875000.0,0.00876517294398001,114.08788011271447
CISO,SRP,grid_storage_4h,500.0,582525.0594206431,1.309826566027007,809709.8325946939,93750000.0,0.008636904881010068,115.78221756253174
CISO,SRP,grid_storage_4h,1000.0,1131450.8135254062,1.2342774338633824,1572716.6308003145,187500000.0,0.008387822030935011,119.22045988957727
CISO,SRP,flexible_load,50.0,29955.487326859,1.3858772000509,41638.12738433401,3500000.0,0.01189660782409543,84.05757462850852
CISO,SRP,flexible_load,100.0,59822.125386361564,1.381766628504261,83152.75428704257,7000000.0,0.011878964898148938,84.1824189711872
CISO,SRP,flexible_load,250.0,148891.57536241584,1.3695079221169888,206959.289753758,17500000.0,0.011826245128786172,84.55769258206121
CISO,SRP,flexible_load,500.0,295588.1163662324,1.349317948734671,410867.481749063,35000000.0,0.011739070907116086,85.1856171508268
CISO,SRP,flexible_load,1000.0,582525.0594206431,1.309826566027007,809709.8325946939,70000000.0,0.011567283322781341,86.45072244669036
